sep=;
"Empresa";"Placa";"Nome";"Perfil";"Entrada";"Saída";"Observações";"Turno";"Autor";"Criado em"
"Empresa 01";"WOY0G00";"Pessoa 1400";"Prestador";"08:20";"10:40";"Registro de teste 1400";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 40";"VLR9B91";"Pessoa 1399";"Fornecedor";"07:13";"09:29";"Registro de teste 1399";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 39";"UIK8W92";"Pessoa 1398";"Visitante";"06:06";"08:18";"Registro de teste 1398";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 38";"TFD7R93";"Pessoa 1397";"Agregado";"05:59";"07:07";"Registro de teste 1397";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 37";"SCW6M94";"Pessoa 1396";"Colaborador";"04:52";"06:56";"Registro de teste 1396";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 36";"RZP5H95";"Pessoa 1395";"Parceiro";"03:45";"05:45";"Registro de teste 1395";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 35";"QWI4C96";"Pessoa 1394";"Prestador";"02:38";"04:34";"Registro de teste 1394";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 34";"PTB3X97";"Pessoa 1393";"Fornecedor";"01:31";"03:23";"Registro de teste 1393";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 33";"OQU2S98";"Pessoa 1392";"Visitante";"00:24";"02:12";"Registro de teste 1392";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 32";"NNN1N99";"Pessoa 1391";"Agregado";"23:17";"01:01";"Registro de teste 1391";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 31";"MKG0I90";"Pessoa 1390";"Colaborador";"22:10";"00:50";"Registro de teste 1390";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 30";"LHZ9D81";"Pessoa 1389";"Parceiro";"21:03";"23:39";"Registro de teste 1389";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 29";"KES8Y82";"Pessoa 1388";"Prestador";"20:56";"22:28";"Registro de teste 1388";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 28";"JBL7T83";"Pessoa 1387";"Fornecedor";"19:49";"21:17";"Registro de teste 1387";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 27";"IYE6O84";"Pessoa 1386";"Visitante";"18:42";"20:06";"Registro de teste 1386";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 26";"HVX5J85";"Pessoa 1385";"Agregado";"17:35";"19:55";"Registro de teste 1385";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 25";"GSQ4E86";"Pessoa 1384";"Colaborador";"16:28";"18:44";"Registro de teste 1384";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 24";"FPJ3Z87";"Pessoa 1383";"Parceiro";"15:21";"17:33";"Registro de teste 1383";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 23";"EMC2U88";"Pessoa 1382";"Prestador";"14:14";"16:22";"Registro de teste 1382";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 22";"DJV1P89";"Pessoa 1381";"Fornecedor";"13:07";"15:11";"Registro de teste 1381";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 21";"CGO0K80";"Pessoa 1380";"Visitante";"12:00";"14:00";"Registro de teste 1380";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 20";"BDH9F71";"Pessoa 1379";"Agregado";"11:53";"13:49";"Registro de teste 1379";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 19";"AAA8A72";"Pessoa 1378";"Colaborador";"10:46";"12:38";"Registro de teste 1378";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 18";"ZXT7V73";"Pessoa 1377";"Parceiro";"09:39";"11:27";"Registro de teste 1377";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 17";"YUM6Q74";"Pessoa 1376";"Prestador";"08:32";"10:16";"Registro de teste 1376";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 16";"XRF5L75";"Pessoa 1375";"Fornecedor";"07:25";"09:05";"Registro de teste 1375";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 15";"WOY4G76";"Pessoa 1374";"Visitante";"06:18";"08:54";"Registro de teste 1374";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 14";"VLR3B77";"Pessoa 1373";"Agregado";"05:11";"07:43";"Registro de teste 1373";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 13";"UIK2W78";"Pessoa 1372";"Colaborador";"04:04";"06:32";"Registro de teste 1372";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 12";"TFD1R79";"Pessoa 1371";"Parceiro";"03:57";"05:21";"Registro de teste 1371";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 11";"SCW0M70";"Pessoa 1370";"Prestador";"02:50";"04:10";"Registro de teste 1370";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 10";"RZP9H61";"Pessoa 1369";"Fornecedor";"01:43";"03:59";"Registro de teste 1369";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 09";"QWI8C62";"Pessoa 1368";"Visitante";"00:36";"02:48";"Registro de teste 1368";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 08";"PTB7X63";"Pessoa 1367";"Agregado";"23:29";"01:37";"Registro de teste 1367";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 07";"OQU6S64";"Pessoa 1366";"Colaborador";"22:22";"00:26";"Registro de teste 1366";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 06";"NNN5N65";"Pessoa 1365";"Parceiro";"21:15";"23:15";"Registro de teste 1365";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 05";"MKG4I66";"Pessoa 1364";"Prestador";"20:08";"22:04";"Registro de teste 1364";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 04";"LHZ3D67";"Pessoa 1363";"Fornecedor";"19:01";"21:53";"Registro de teste 1363";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 03";"KES2Y68";"Pessoa 1362";"Visitante";"18:54";"20:42";"Registro de teste 1362";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 02";"JBL1T69";"Pessoa 1361";"Agregado";"17:47";"19:31";"Registro de teste 1361";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 01";"IYE0O60";"Pessoa 1360";"Colaborador";"16:40";"18:20";"Registro de teste 1360";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 40";"HVX9J51";"Pessoa 1359";"Parceiro";"15:33";"17:09";"Registro de teste 1359";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 39";"GSQ8E52";"Pessoa 1358";"Prestador";"14:26";"16:58";"Registro de teste 1358";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 38";"FPJ7Z53";"Pessoa 1357";"Fornecedor";"13:19";"15:47";"Registro de teste 1357";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 37";"EMC6U54";"Pessoa 1356";"Visitante";"12:12";"14:36";"Registro de teste 1356";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 36";"DJV5P55";"Pessoa 1355";"Agregado";"11:05";"13:25";"Registro de teste 1355";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 35";"CGO4K56";"Pessoa 1354";"Colaborador";"10:58";"12:14";"Registro de teste 1354";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 34";"BDH3F57";"Pessoa 1353";"Parceiro";"09:51";"11:03";"Registro de teste 1353";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 33";"AAA2A58";"Pessoa 1352";"Prestador";"08:44";"10:52";"Registro de teste 1352";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 32";"ZXT1V59";"Pessoa 1351";"Fornecedor";"07:37";"09:41";"Registro de teste 1351";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
